epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3437.83,1.0542,1.03243,1.18219,0.45574,0.50794,0.45722,0.17785,2.57058,2.44194,2.70173,0.0003326,0.0003326,0.0003326
64,3491.52,0.98743,0.9845,1.12081,0.43761,0.5342,0.47062,0.18056,2.54176,2.44719,2.66854,0.000314916,0.000314916,0.000314916
65,3545.49,1.0401,1.03346,1.17577,0.63159,0.53393,0.60766,0.21344,2.50013,2.52905,2.57539,0.000297232,0.000297232,0.000297232
66,3601.43,0.96694,0.93929,1.13997,0.68317,0.57703,0.64345,0.22928,2.5476,2.39869,2.59323,0.000279548,0.000279548,0.000279548
67,3656.51,0.95294,1.06519,1.11301,0.52005,0.6746,0.62884,0.2306,2.60758,2.21409,2.67791,0.000261864,0.000261864,0.000261864
68,3711.44,0.95287,0.9648,1.15115,0.49211,0.6746,0.62604,0.21472,2.61067,2.1044,2.68899,0.00024418,0.00024418,0.00024418
69,3765.11,0.99555,0.97366,1.14278,0.57938,0.65873,0.65202,0.20902,2.62171,2.02009,2.68914,0.000226497,0.000226497,0.000226497
70,3818.25,0.9134,0.88131,1.11455,0.57769,0.70635,0.61482,0.19795,2.58849,2.083,2.66362,0.000208813,0.000208813,0.000208813
71,3871.26,0.91955,0.95842,1.07815,0.55259,0.5841,0.56934,0.19585,2.6178,2.20252,2.64992,0.000191129,0.000191129,0.000191129
72,3924.24,0.92181,0.99547,1.10664,0.73579,0.44274,0.57701,0.20977,2.65142,2.31443,2.67381,0.000173445,0.000173445,0.000173445
73,3976.78,0.92158,0.90586,1.1256,0.45331,0.52128,0.55781,0.21705,2.64775,2.26142,2.68368,0.000155761,0.000155761,0.000155761
74,4030.98,0.75574,0.83019,1.01556,0.66544,0.60609,0.62024,0.21779,2.62248,2.1441,2.67671,0.000138077,0.000138077,0.000138077
75,4086.68,0.81513,0.79604,1.03565,0.6779,0.55563,0.61492,0.21939,2.62271,2.07558,2.68718,0.000120393,0.000120393,0.000120393
76,4143.89,0.80023,0.84275,1.02791,0.6067,0.53175,0.60973,0.21541,2.61932,2.05774,2.68563,0.000102709,0.000102709,0.000102709
77,4200.7,0.84191,0.89467,1.10563,0.87748,0.5226,0.64246,0.22542,2.61458,2.0169,2.73936,8.50255e-05,8.50255e-05,8.50255e-05
78,4259.43,0.79366,0.85494,1.0261,0.67188,0.5873,0.62831,0.22441,2.61381,2.05842,2.73724,6.73416e-05,6.73416e-05,6.73416e-05
79,4317.87,0.76609,0.80071,1.00512,0.62515,0.54925,0.59985,0.217,2.6189,2.09709,2.73116,4.96578e-05,4.96578e-05,4.96578e-05
80,4377.91,0.70018,0.8006,0.96766,0.63505,0.53427,0.60711,0.2164,2.62927,2.10269,2.75164,3.19739e-05,3.19739e-05,3.19739e-05
